NOTE: episode was built at speed 0.97; you passed 0.96 — mixed clips will have an audible cadence jump. Use --force to re-synth ALL clips at the new speed.
->  l4.mp3 (226995b, polished)
->  l5.mp3 (188752b, polished)
->  l6.mp3 (265239b, polished)
->  l7.mp3 (138597b, polished)
->  l8.mp3 (65872b, polished)
->  l9.mp3 (366803b, polished)
->  l10.mp3 (211322b, polished)
->  l11.mp3 (188752b, polished)
->  l12.mp3 (299720b, polished)
->  l13.mp3 (294078b, polished)
->  l14.mp3 (213203b, polished)
->  l15.mp3 (230757b, polished)
->  l16.mp3 (315394b, polished)
->  l17.mp3 (337964b, polished)
->  l18.mp3 (194395b, polished)
->  c11.mp3 (59603b, polished)
->  m1.mp3 (265239b, polished)
->  m2.mp3 (267120b, polished)
->  m3.mp3 (159913b, polished)
->  m4.mp3 (194395b, polished)
->  m5.mp3 (272762b, polished)
->  m6.mp3 (121043b, polished)
->  m7.mp3 (173079b, polished)
->  m8.mp3 (353637b, polished)
->  m9.mp3 (232638b, polished)
->  m10.mp3 (122924b, polished)
->  c12.mp3 (55841b, polished)
->  n1.mp3 (238280b, polished)
->  n2.mp3 (270881b, polished)
->  n3.mp3 (278404b, polished)
->  n4.mp3 (100354b, polished)
->  n5.mp3 (347995b, polished)
->  n6.mp3 (127312b, polished)
->  n7.mp3 (105996b, polished)
->  n8.mp3 (299720b, polished)
->  n9.mp3 (102235b, polished)
->  n10.mp3 (194395b, polished)
->  n11.mp3 (288435b, polished)
->  n12.mp3 (209441b, polished)
->  o1.mp3 (98473b, polished)
->  o2.mp3 (413196b, polished)
->  o5.mp3 (250192b, polished)
->  o6.mp3 (376834b, polished)
->  o7.mp3 (169317b, polished)
->  o8.mp3 (190633b, polished)
->  o9.mp3 (178721b, polished)
->  o10.mp3 (270881b, polished)
->  o11.mp3 (317275b, polished)
->  o12.mp3 (140478b, polished)
->  p1.mp3 (188752b, polished)
->  p2.mp3 (272762b, polished)
->  p3.mp3 (184364b, polished)

235 clips · narration 31.8 min · manifest -> biosphere2.manifest.json
